frame SyncTime CallbackTime CopyTime ReconTime VisTime UsleepTime
43 23.3153 1.44193 4.0717 4.03319 0.01249 0
44 23.7 1.4387 4.07877 4.11286 0.006844 0
45 23.6577 1.58676 4.28989 3.94555 0.008261 0
46 23.58 1.46656 4.07932 4.13576 0.007669 0
47 23.2559 1.44419 4.06087 4.0217 0.006666 0
48 23.7457 1.44985 4.16221 4.1279 0.009483 0
49 23.6129 1.48218 4.08165 3.95955 0.009594 0
50 23.5853 1.47263 4.07371 4.08569 0.00719 0
51 23.7091 1.53389 4.29499 3.99211 0.007989 0
52 23.6654 1.47751 4.08581 3.98074 0.008099 0
53 23.3027 1.47431 4.06757 4.02227 0.006817 0
54 23.8001 1.46398 4.22178 4.0648 0.013625 0
55 23.7306 1.48034 4.08949 4.10193 0.008579 0
56 23.2625 1.46654 4.06014 4.04688 0.007852 0
57 23.7164 1.79411 4.15277 4.00508 0.008642 0
58 23.4473 1.47845 4.07709 4.0023 0.009701 0
59 23.4499 1.48597 4.07821 4.11341 0.008103 0
60 24.3031 1.54572 4.43628 4.14061 0.010944 0
61 23.1792 2.07669 4.14334 4.11109 0.01426 0
62 22.0488 1.46666 4.04639 4.02013 0.007036 0
63 23.917 1.45094 4.08822 4.01453 0.011622 0
64 23.6803 1.46476 4.08178 4.136 0.007588 0
65 23.3788 1.5001 4.07463 4.07522 0.007028 0
66 23.6367 1.44173 4.1877 4.08411 0.009638 0
67 24.2659 1.45705 4.07583 4.10291 0.008679 0
68 22.8324 1.47814 4.09471 4.11699 0.009521 0
69 23.6582 1.45372 4.20949 3.95833 0.009604 0
70 23.623 1.44623 4.06399 4.02588 0.008876 0
71 23.5758 1.46423 4.09771 4.08524 0.006685 0
72 23.6964 1.43686 4.19416 3.96347 0.011776 0
73 23.6628 1.48648 4.07538 4.10898 0.010258 0
74 23.4955 1.46718 4.11602 4.05525 0.006806 0
75 23.6995 1.48294 4.20625 4.0114 0.006845 0
76 23.538 1.46991 4.07877 4.09418 0.010901 0
77 23.4207 1.46824 4.09024 4.0144 0.006879 0
78 23.8137 1.45255 4.16536 3.97615 0.009464 0
79 23.6632 1.44847 4.06847 3.97634 0.007609 0
80 23.6521 1.46561 4.06747 3.97323 0.006792 0
81 23.8381 1.44695 4.23854 4.11898 0.007213 0
82 23.4928 1.47013 4.07648 3.95506 0.012147 0
83 23.4891 1.47072 4.05653 4.13569 0.007661 0
84 23.7373 1.62314 4.14825 4.10943 0.008736 0
85 23.5128 1.4484 4.10257 4.09372 0.007283 0
86 23.2026 1.44606 4.08774 4.13378 0.007287 0
87 24.0875 1.5435 4.135 4.03579 0.010579 0
88 23.313 1.44012 4.06526 4.13084 0.009591 0
89 23.4171 1.46848 4.05128 4.00183 0.006736 0
90 24.2446 1.6019 4.0961 4.10289 0.008413 0
91 22.8759 1.48887 4.08182 3.97262 0.006452 0
92 23.8388 1.46821 4.06355 4.00762 0.006388 0
93 23.6589 1.85006 4.13466 4.11541 0.00853 0
94 23.112 1.50056 4.10596 4.09291 0.009046 0
95 23.6836 1.47495 4.07672 3.98296 0.009369 0
96 23.5893 1.47258 4.08791 4.00296 0.008169 0
97 23.6319 1.48599 4.11192 3.97725 0.007196 0
98 23.8517 1.48197 4.082 4.01632 0.006564 0
99 23.5651 1.50123 4.10035 3.98072 0.015503 0
100 23.5695 1.51159 4.0843 3.9879 0.009013 0
101 23.6646 1.48174 4.09869 4.08652 0.010688 0
102 23.6189 1.49436 4.13195 3.98867 0.009904 0
103 23.66 1.49419 4.09546 4.06505 0.007742 0
104 23.42 1.46819 4.0772 3.98746 0.006195 0
105 24.0069 1.66382 4.15647 4.11929 0.008212 0
106 23.125 1.50605 4.09691 4.14215 0.009859 0
107 23.3218 1.48258 4.06066 4.1392 0.008012 0
108 24.1591 1.55949 4.11245 4.10829 0.010227 0
109 23.211 1.46451 4.08955 4.12489 0.00684 0
110 23.3287 1.47915 4.06233 4.0323 0.010051 0
111 24.023 1.50814 4.13404 4.03287 0.008228 0
112 23.3297 1.46883 4.07653 4.13773 0.00946 0
113 23.3725 1.47411 4.0668 4.04514 0.007465 0
114 24.0358 1.51054 4.14791 4.01648 0.008581 0
115 23.4925 1.47534 4.09003 4.0983 0.00962 0
116 23.313 1.47062 4.0722 4.04411 0.01006 0
117 24.0733 1.54068 4.16808 4.06079 0.009235 0
118 23.3304 1.49756 4.0784 3.97386 0.009312 0
119 23.3689 1.4789 4.07251 4.00257 0.006965 0
120 24.3172 1.54194 4.10783 4.11658 0.008738 0
121 23.2581 1.47921 4.0719 3.95666 0.011208 0
122 23.3346 1.48102 4.07829 4.00261 0.007706 0
123 24.3891 1.64476 4.0933 4.05812 0.009862 0
124 22.8533 1.4922 4.06807 4.08818 0.009153 0
125 23.4717 1.47966 4.08682 4.1327 0.008955 0
126 23.957 1.54511 4.22501 4.1205 0.008915 0
127 23.027 1.46274 4.06126 3.9841 0.010449 0
128 23.6581 1.44031 4.07507 4.04472 0.006761 0
129 23.9565 1.81244 4.09867 4.02907 0.009049 0
130 23.1417 1.46001 4.06492 3.97618 0.010665 0
131 23.6135 1.45759 4.07396 4.04861 0.007627 0
132 23.9962 1.47451 4.86431 4.07305 0.009485 0
133 22.8117 1.47876 4.77965 4.11111 0.008189 0
134 22.7909 1.56428 4.76323 4.03041 0.008077 0
135 22.907 1.5077 4.80262 4.1054 0.009065 0
136 22.7998 1.44496 4.66557 4.13469 0.011064 0
137 22.8054 1.49837 4.82926 4.45669 0.009316 0
138 22.5856 1.49941 4.84263 4.1499 0.010083 0
139 22.966 1.51181 4.83726 4.13934 0.008458 0
140 22.4885 1.4744 4.7714 4.12107 0.008976 0
141 22.9155 1.53676 4.89069 4.14028 0.009761 0
142 22.859 1.47283 4.77037 4.13411 0.009327 0
143 22.6281 1.50871 4.81149 4.06698 0.010962 0
144 22.9548 1.52973 4.17178 4.02758 0.011112 0
145 23.7655 1.53065 4.53871 4.14742 0.011759 0
146 22.6549 1.47937 4.43967 4.15141 0.010252 0
147 23.2937 1.50695 4.45398 4.13022 0.01435 0
148 22.9621 1.53253 4.48176 4.07336 0.011777 0
149 23.022 1.46047 4.43758 4.14934 0.008564 0
150 23.3663 1.44965 4.36518 4.14282 0.009235 0
151 23.2507 1.46038 4.48071 4.10899 0.009433 0
152 22.9252 1.5625 4.45077 4.09278 0.007603 0
153 34.0255 1.95244 4.81554 7.18048 0.010557 0
154 8.70515 1.49069 4.40093 4.31938 0.008107 0
155 22.7423 1.52303 4.4008 4.33942 0.010279 0
156 23.3569 1.47774 4.14233 4.07294 0.009848 0
157 23.3414 1.44862 4.34367 3.92496 0.011257 0
158 23.4742 1.47294 4.06318 3.97149 0.009214 0
159 23.8113 1.52215 4.10364 3.96297 0.009591 0
160 23.6154 1.55289 4.11413 4.12454 0.008282 0
161 23.3215 1.47586 4.07085 3.99888 0.008284 0
162 23.7898 1.51257 4.117 4.08012 0.010283 0
163 23.9085 1.47383 4.14884 4.20285 0.00798 0
164 22.819 1.47226 4.06444 4.08414 0.007147 0
165 23.9444 1.51929 4.13076 4.20911 0.009627 0
166 23.2971 1.66524 4.20887 4.21067 0.008532 0
167 22.9001 1.50298 4.07773 4.07168 0.0072 0
168 23.8265 1.49208 4.11569 4.13864 0.01003 0
169 23.3412 1.47514 4.07323 4.1076 0.008963 0
170 23.6233 1.46793 4.0716 3.96297 0.009165 0
171 23.7515 1.52707 4.1135 4.07773 0.009019 0
172 23.6239 1.46329 4.10402 3.96778 0.008233 0
173 23.4512 1.46659 4.07771 4.01285 0.008621 0
174 23.7793 1.47783 4.20493 3.95007 0.008167 0
175 23.6799 1.44386 4.20906 3.98424 0.009203 0
176 23.3656 1.57044 4.09761 3.99709 0.008583 0
177 23.8195 1.44068 4.16323 4.12631 0.01079 0
178 23.6483 1.44748 4.09536 4.12514 0.008909 0
179 23.1489 1.44318 4.04474 4.01218 0.007194 0
180 23.9085 1.46063 4.09955 3.99939 0.011339 0
181 23.7772 1.42874 4.20019 4.12676 0.010496 0
182 23.3025 1.46065 4.06782 3.98045 0.0068 0
183 23.9066 1.42522 4.15346 3.99556 0.007931 0
184 23.5971 1.41254 4.07364 4.04764 0.011286 0
185 23.529 1.37818 4.04908 3.99465 0.006564 0
186 24.0443 1.4032 4.11701 4.04467 0.008875 0
187 23.7374 1.39723 4.08892 3.99393 0.009005 0
188 23.445 1.39691 4.05314 3.96696 0.00632 0
189 24.1158 1.38701 4.11267 3.99413 0.00891 0
190 23.7895 1.4683 4.09359 4.0163 0.008882 0
191 23.3935 1.47399 4.05324 4.05351 0.008139 0
192 23.7636 1.476 4.11646 4.02322 0.009825 0
193 23.7583 1.48026 4.10132 4.01239 0.008337 0
194 23.2717 1.38442 4.05864 4.01628 0.006486 0
195 24.0576 1.45012 4.10299 4.06019 0.009559 0
196 23.5693 1.40534 4.08955 4.12608 0.013445 0
197 23.4172 1.38414 4.0715 4.1407 0.006686 0
198 23.8427 1.39456 4.20077 3.96751 0.011032 0
199 23.8222 1.37433 4.07345 4.13386 0.007159 0
200 23.3409 1.38689 4.06624 3.99113 0.006673 0
201 24.0156 1.39546 4.11283 3.9957 0.01001 0
202 23.8797 1.41606 4.08994 3.98698 0.010434 0
203 23.4254 1.38819 4.07266 3.98429 0.00753 0
204 24.0383 1.48878 4.09323 4.03191 0.007084 0
205 23.4071 1.46988 4.08875 4.10815 0.009926 0
206 24.0634 1.54432 4.11186 4.06596 0.00715 0
207 23.0312 1.47318 4.22124 4.08395 0.009917 0
208 23.6789 1.51723 4.12702 4.24216 0.007086 0
209 23.0684 1.47415 4.10219 4.13443 0.007138 0
210 23.6025 1.40393 4.08939 3.98811 0.008431 0
211 23.7794 1.37224 4.09941 4.00825 0.006541 0
212 23.6081 1.39595 4.06499 3.96704 0.00663 0
213 24.046 1.41224 4.1862 4.02616 0.009732 0
214 23.4478 1.39829 4.09234 4.1196 0.007157 0
215 23.8039 1.39336 4.08132 4.04148 0.007948 0
216 23.5777 1.39195 4.12565 4.07248 0.007209 0
217 23.9154 1.37749 4.10145 4.01872 0.006784 0
218 23.4195 1.39161 4.04928 4.06304 0.006113 0
219 23.8105 1.3909 4.21964 3.99145 0.009924 0
220 23.979 1.48622 4.08928 4.10901 0.00867 0
221 23.1436 1.39969 4.04089 4.0172 0.006891 0
222 23.8845 1.39876 4.18919 4.02374 0.011966 0
223 23.7629 1.43131 4.09897 4.04344 0.008755 0
224 23.4127 1.39116 4.05902 4.1331 0.006857 0
225 23.8227 1.37599 4.1439 3.96451 0.008823 0
226 23.9942 1.41836 4.10113 4.1351 0.00868 0
227 23.2392 1.48267 4.06453 4.00446 0.007081 0
228 23.7657 1.47339 4.1367 4.13285 0.008833 0
229 23.5941 1.48784 4.10537 4.01593 0.007857 0
230 23.5283 1.47828 4.08369 4.00283 0.007116 0
231 23.6947 1.46668 4.17065 4.09 0.009508 0
232 23.8239 1.52464 4.09873 3.97577 0.007878 0
233 23.2047 1.46916 4.04847 4.01919 0.006564 0
234 23.8976 1.47438 4.22982 4.11957 0.009366 0
235 23.4457 1.47835 4.10784 3.93121 0.009679 0
236 23.5558 1.48775 4.05049 3.95578 0.006708 0
237 23.7539 1.46202 4.14795 4.1221 0.009441 0
238 23.8943 1.49114 4.09577 4.10362 0.007926 0
239 23.1513 1.4729 4.05065 4.05507 0.006901 0
240 23.789 1.48392 4.33132 4.00218 0.009509 0
241 23.5645 1.46654 4.11264 4.12574 0.009125 0
242 23.2358 1.46914 4.05532 3.99753 0.006886 0
243 23.8924 1.46588 4.27321 4.06076 0.011144 0
244 23.5903 1.48038 4.0951 4.03819 0.007781 0
245 23.4396 1.46813 4.07821 4.03888 0.008708 0
246 23.6527 1.46208 4.13508 4.35752 0.010263 0
247 23.2957 1.46087 4.08245 4.13001 0.009685 0
248 23.3958 1.38794 4.05092 4.10679 0.007661 0
249 23.778 1.38156 4.20375 4.0087 0.013599 0
250 23.8853 1.40187 4.10448 4.02843 0.007976 0
251 23.3187 1.37871 4.0489 4.02917 0.008652 0
252 23.9062 1.38671 4.20276 4.08303 0.009876 0
253 23.7141 1.39954 4.09725 3.96574 0.008833 0
254 23.8106 1.47061 4.07124 4.06537 0.006719 0
255 23.5462 1.47523 4.26023 4.12948 0.010002 0
256 23.5295 1.48765 4.11712 4.02857 0.008173 0
257 23.34 1.46105 4.04521 4.07049 0.006491 0
258 23.9846 1.61073 4.15398 4.08276 0.007991 0
259 23.1267 1.51416 4.08639 4.05421 0.00814 0
260 23.6689 1.49106 4.06209 4.08786 0.009928 0
261 23.7175 1.64568 4.14308 4.07681 0.009356 0
262 23.3782 1.48599 4.13653 3.98829 0.008882 0
263 23.312 1.38433 4.14702 4.12372 0.007975 0
264 23.9081 1.45758 4.09872 4.01968 0.008295 0
265 23.3587 1.38168 4.09996 3.99285 0.006354 0
266 23.787 1.4154 4.07015 4.06232 0.007721 0
267 24.3615 1.64238 4.13848 4.14455 0.009623 0
268 22.9321 1.4856 4.09056 3.98649 0.008226 0
269 23.2928 1.47039 4.07525 4.06434 0.006672 0
270 24.3558 1.61132 4.14941 3.94768 0.010869 0
271 22.9066 1.48789 4.07198 3.97311 0.008306 0
272 34.8188 1.78212 4.33746 3.73938 0.007105 0
273 12.6123 1.61247 4.12427 4.1294 0.010711 0
274 23.451 1.47536 4.08365 4.10485 0.007809 0
275 23.5603 1.54213 4.1622 4.1202 0.010847 0
276 23.0321 1.4711 4.15786 3.99015 0.011167 0
277 23.8503 1.48784 4.10552 4.0929 0.008404 0
278 23.3246 1.49118 4.1134 4.10184 0.006433 0
279 23.7926 1.43671 4.14079 3.96887 0.011954 0
280 23.5822 1.48663 4.09492 4.08324 0.008849 0
281 23.3452 1.46926 4.09917 4.02625 0.009609 0
282 24.3212 1.61498 4.14212 4.05516 0.009136 0
283 22.8669 1.47945 4.0799 4.09955 0.007835 0
284 23.4979 1.51193 4.13195 4.0207 0.007208 0
285 24.1375 1.49431 4.11491 4.09676 0.007637 0
286 23.0704 1.44199 4.07172 4.08148 0.007817 0
287 23.5151 1.43572 4.04999 4.10806 0.009654 0
288 24.1151 1.48071 4.13319 3.79544 0.013942 0
289 11.3493 1.45122 4.20721 3.9923 0.008612 0
290 23.3129 1.44295 4.25976 4.09713 0.010303 0
291 24.159 1.49844 4.12819 4.0842 0.009195 0
292 23.0304 1.44271 4.07918 4.01532 0.008529 0
293 23.7098 1.44578 4.08692 4.11121 0.008255 0
294 23.8909 1.48532 4.10018 4.03892 0.009595 0
295 23.4022 1.43751 4.07682 4.13308 0.007765 0
296 23.4091 1.56918 4.07588 4.00899 0.009106 0
297 23.991 1.4858 4.10206 4.07722 0.009661 0
298 23.5254 1.44664 4.08466 4.11945 0.008871 0
299 23.2246 1.45512 4.07747 4.10475 0.009183 0
300 23.7848 1.43785 4.10877 3.96328 0.009126 0
301 23.6508 1.5469 4.23883 4.00934 0.011527 0
302 23.0181 1.44854 4.13925 3.99675 0.007271 0
303 24.2077 1.51085 4.1061 4.07779 0.012031 0
304 23.1658 1.38144 4.0786 3.9608 0.008984 0
305 23.6555 1.47101 4.10389 4.0519 0.008544 0
306 23.9647 1.44083 4.10199 4.04269 0.008213 0
307 23.6631 1.38699 4.12399 4.09342 0.00688 0
308 23.137 1.39168 4.04727 4.00316 0.007221 0
309 24.4178 1.44983 4.1323 4.11711 0.009276 0
310 23.2895 1.41197 4.0969 3.99671 0.006574 0
311 23.6857 1.37616 4.06507 4.08845 0.009955 0
312 24.017 1.44464 4.10393 4.01447 0.00888 0
313 23.312 1.39241 4.12 4.12331 0.007499 0
314 23.6065 1.39097 4.04706 4.00613 0.006667 0
315 34.3042 1.81029 4.35683 3.73507 0.007964 0
316 12.8997 1.38127 4.07105 4.05219 0.010906 0
317 23.5281 1.3883 4.22046 4.08721 0.008405 0
318 24.1674 1.51319 4.11611 4.04645 0.008055 0
319 23.226 1.45383 4.10194 4.12279 0.0081 0
320 23.9573 1.65598 4.09302 4.42453 0.009898 0
321 33.1838 1.83136 4.32892 4.36004 0.005996 0
322 11.9681 1.3777 4.16358 4.03951 0.005484 0
323 23.6756 1.4008 4.09591 3.91294 0.005653 0
324 34.1308 1.86663 4.14703 4.17309 0.007633 0
325 12.7617 1.40623 4.02525 3.92261 0.00509 0
326 23.8574 1.40474 4.21435 4.00979 0.007653 0
327 23.5859 1.48918 4.05312 4.07184 0.006104 0
328 23.7086 1.41271 4.14811 3.98567 0.005904 0
329 23.4657 1.41809 4.05043 3.94046 0.005502 0
330 23.9006 1.43787 4.08208 4.0575 0.005819 0
331 23.9212 1.52794 4.12141 4.21081 0.005738 0
332 23.3189 1.40536 4.11084 4.33729 0.006639 0
333 23.1943 1.42121 4.0431 4.06807 0.004968 0
334 23.8331 1.40212 4.26046 4.18172 0.005287 0
335 23.2799 1.41081 4.17571 4.06287 0.005612 0
336 23.4885 1.39804 4.07875 4.09762 0.005666 0
337 23.9349 1.38816 4.25644 4.08483 0.005589 0
338 23.433 1.39528 4.02101 4.06052 0.005139 0
339 23.6012 1.39902 4.04236 3.99968 0.005308 0
340 23.8975 1.40317 4.17683 3.89914 0.005513 0
341 23.7588 1.45764 4.24287 4.12075 0.00561 0
342 23.5129 1.40288 4.04389 4.15752 0.006058 0
343 23.8435 1.40862 4.04731 4.06217 0.00529 0
344 23.4515 1.39207 4.17608 4.21675 0.004979 0
345 23.5653 1.42143 4.02009 4.13259 0.005966 0
346 23.6509 1.38415 4.23108 4.12333 0.005143 0
347 23.6739 1.4263 4.09375 4.19211 0.005389 0
348 23.4507 1.3948 4.03485 4.04206 0.006539 0
349 23.897 1.39908 4.05632 4.1205 0.005665 0
350 23.5916 1.40275 4.01109 4.22849 0.005579 0
351 23.5309 1.41189 4.07497 4.30817 0.008319 0
352 23.4182 1.39569 4.07138 3.94091 0.005436 0
353 23.8624 1.40857 4.01856 3.90444 0.005523 0
354 24.0163 1.39761 4.19935 4.04888 0.008084 0
355 23.6014 1.41334 4.05009 4.07714 0.005639 0
356 23.7523 1.42218 4.15851 4.14595 0.005616 0
357 23.7081 1.55813 5.78461 5.49183 0.009554 0
358 20.1499 1.576 4.12172 4.19233 0.005351 0
359 23.3803 1.47613 4.21969 4.11705 0.005348 0
360 23.3867 1.43009 4.22081 5.34624 0.008482 0
361 22.6107 1.43241 4.2428 4.26761 0.007181 0
362 22.9188 1.42633 4.18245 3.96714 0.004922 0
363 23.5405 1.38716 4.03367 4.2491 0.005748 0
364 24.5448 1.44742 4.30862 4.52918 0.007589 0
365 22.1734 1.40851 4.46898 4.45683 0.006424 0
366 22.8028 1.53276 4.37542 4.16651 0.009686 0
367 23.4063 1.40107 4.01228 4.13123 0.007221 0
368 23.3536 1.35929 4.04507 5.45644 0.009216 0
369 22.7082 1.42511 4.19572 4.21687 0.005213 0
370 23.0556 1.46177 5.10622 4.58483 0.007941 0
371 22.921 1.3758 4.27041 4.61276 0.0087 0
372 22.3496 1.51762 4.05379 4.2481 0.006568 0
373 23.0999 1.38271 4.12231 5.02102 0.006135 0
374 22.985 1.3904 4.2123 4.30084 0.007497 0
375 23.0588 1.36788 4.78414 4.12226 0.008034 0
376 23.614 1.40848 4.15006 4.11776 0.00552 0
377 23.091 1.38852 4.26425 4.42546 0.006564 0
378 23.0346 1.53618 4.35606 4.18613 0.009768 0
379 22.9787 1.34951 4.11819 4.08027 0.005973 0
380 23.6832 1.36889 4.219 4.35495 0.005929 0
381 23.9047 1.40506 4.20946 4.25456 0.005937 0
382 22.7778 1.47534 4.89368 4.11878 0.005395 0
383 22.9732 1.43507 4.31097 4.08645 0.006437 0
384 23.7538 1.5725 4.04357 4.02447 0.007866 0
385 23.1167 1.38023 4.05585 4.58121 0.006281 0
386 23.628 1.4108 4.54672 4.7709 0.006417 0
387 22.4659 1.40442 4.80407 4.38953 0.005786 0
388 22.9737 1.46523 4.42316 4.69151 0.008221 0
389 22.0188 1.47413 4.35266 4.14867 0.006462 0
390 23.528 1.40515 7.39747 4.84469 0.006568 0
391 19.5302 1.36059 4.22893 4.92291 0.009716 0
392 22.7112 1.39773 4.57135 4.369 0.007879 0
393 22.6332 1.35058 4.02176 4.03103 0.005004 0
394 23.7371 1.56898 4.4386 4.19106 0.004993 0
395 23.5877 1.47222 4.29647 4.10836 0.006532 0
396 23.4585 1.39495 4.02827 4.05948 0.007549 0
397 23.1249 1.34781 4.03846 5.15334 0.007353 0
398 23.5607 1.35859 4.03917 4.34888 0.006521 0
399 22.946 1.34896 4.14007 5.17126 0.00671 0
400 22.8169 1.43242 4.1906 4.10674 0.0058 0
401 23.4812 1.56033 4.38887 4.72064 0.007409 0
402 22.9123 1.50871 4.34648 4.11087 0.009846 0
403 22.7602 1.3532 4.03489 4.39113 0.006067 0
404 23.7098 1.38605 4.24137 4.49958 0.008948 0
405 22.7435 1.41029 4.36971 4.16247 0.005641 0
406 23.0837 1.46276 4.22594 4.58423 0.013245 0
407 23.309 1.572 4.18799 4.61817 0.008226 0
408 22.6728 1.40862 4.0584 4.28917 0.005686 0
409 23.3435 1.37467 4.02232 4.0793 0.006527 0
410 24.1115 1.403 4.21305 4.20892 0.005453 0
411 23.2344 1.42864 4.18324 4.17838 0.008884 0
412 24.042 1.53065 4.10541 4.58778 0.00963 0
413 22.2537 1.37861 4.31954 4.33476 0.007937 0
414 23.2742 1.43538 4.0681 4.30484 0.006544 0
415 23.5735 1.35867 4.0146 4.23275 0.006549 0
416 23.6742 1.38494 4.24978 4.23018 0.005452 0
417 23.3333 1.48252 4.28558 4.2337 0.005588 0
418 22.9208 1.40874 4.1667 4.06016 0.00557 0
419 23.5521 1.43794 4.03907 4.06698 0.005912 0
420 23.8661 1.36497 4.04495 4.11933 0.0067 0
421 23.5443 1.40012 4.03275 3.94767 0.005134 0
422 23.9861 1.36714 4.04054 4.03014 0.005002 0
423 24.09 1.36123 4.12575 4.64374 0.006229 0
424 23.3654 1.56036 4.37549 4.68301 0.008671 0
425 22.6035 1.46983 4.32778 4.67275 0.008319 0
426 22.8943 1.83197 4.45605 4.40149 0.008618 0
427 22.1261 1.35608 4.01382 4.26477 0.006092 0
428 23.6366 1.41411 4.40064 4.58365 0.007679 0
429 22.5097 1.39008 4.4011 4.24373 0.007444 0
430 23.1322 1.4505 4.32744 4.09347 0.005047 0
431 23.846 1.38416 4.28148 4.61687 0.008915 0
432 23.2138 1.68305 4.25824 4.04462 0.008049 0
433 22.6094 1.4148 4.02066 4.06337 0.005171 0
434 23.9389 1.43209 4.07906 4.07931 0.007105 0
435 23.7276 1.50191 4.0652 3.86731 0.005434 0
436 23.4963 1.49314 4.04162 3.92505 0.006192 0
437 23.7699 1.35331 4.01251 3.94142 0.005366 0
438 23.919 1.36668 4.06705 4.05711 0.007988 0
439 23.7538 1.46388 4.14762 4.13039 0.006719 0
440 23.4704 1.36142 4.02886 4.08625 0.005865 0
441 23.7789 1.39896 4.07903 4.07675 0.005732 0
442 23.73 1.48455 4.29761 4.13811 0.005909 0
443 23.4816 1.37959 4.3026 4.05438 0.005345 0
444 23.2985 1.38381 4.06446 4.04984 0.006214 0
445 23.825 1.36273 4.02385 4.09389 0.004838 0
446 24.0249 1.36952 4.05376 4.05079 0.006406 0
447 23.9501 1.37074 4.0565 4.11241 0.008194 0
448 23.4619 1.35833 4.01155 3.9829 0.004697 0
449 23.9543 1.36498 4.04503 3.89313 0.006474 0
450 23.7776 1.39587 4.04049 4.15806 0.008593 0
451 23.7562 1.50912 4.07493 4.19193 0.006094 0
452 23.5109 1.37313 4.055 4.30793 0.006123 0
453 23.4158 1.40803 4.08773 4.06403 0.005218 0
454 23.3932 1.48863 4.03234 4.07267 0.005141 0
455 24.1853 1.40677 4.04497 4.09934 0.006495 0
456 23.52 1.40012 4.06898 4.14091 0.00767 0
457 23.6421 1.36009 4.0416 3.99186 0.004924 0
458 24.204 1.38461 4.04169 4.07674 0.006896 0
459 23.8202 1.43272 4.07174 3.99446 0.004859 0
460 23.3184 1.40636 4.2347 3.87637 0.006901 0
461 23.8522 1.37611 4.04515 3.95255 0.005751 0
462 23.813 1.3734 4.02758 4.14796 0.007734 0
463 23.7076 1.36854 4.03256 4.14333 0.005629 0
464 23.5604 1.37874 4.08857 4.14062 0.005208 0
465 24.1168 1.36694 4.30931 4.01954 0.006009 0
466 22.9322 1.4106 4.18644 4.06191 0.005674 0
467 24.1666 1.39294 4.08687 4.24992 0.005404 0
468 23.0859 1.38117 4.04356 4.05837 0.008724 0
469 23.8488 1.37207 4.04859 4.00669 0.005296 0
470 23.7271 1.38359 4.0997 3.97407 0.005922 0
471 24.1246 1.3958 4.03081 4.19876 0.007025 0
472 23.6553 1.46761 4.01849 3.94454 0.004741 0
473 23.9857 1.35398 4.01864 3.99141 0.005369 0
474 23.3796 1.36262 4.02661 4.1692 0.005983 0
475 23.8137 1.39634 4.10017 4.32075 0.005939 0
476 23.3568 1.38098 4.05809 4.15423 0.005037 0
477 23.9185 1.44208 4.23915 4.07739 0.006499 0
478 23.687 1.3712 4.10503 4.17073 0.005772 0
479 23.1741 1.39531 4.06567 4.00167 0.005221 0
480 23.8551 1.44099 4.05522 4.15508 0.00862 0
481 23.5621 1.36258 4.02108 4.09138 0.006211 0
482 23.6717 1.3739 4.07157 3.9654 0.005194 0
